Legislation Number,URL,Congress,Title,Amends Bill,Sponsor,Date of Introduction,Latest Action,Latest Action Date,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject
H.R. 3751,https://www.congress.gov/bill/118th-congress/house-bill/3751,118th Congress (2023-2024),Department of Defense Overdose Data Act of 2023,,"Moulton, Seth [Rep.-D-MA-6]",5/30/23,Referred to the House Committee on Armed Services.,5/30/23,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5288,https://www.congress.gov/bill/118th-congress/house-bill/5288,118th Congress (2023-2024),Securing Women’s Independence For Today Act of 2023,,"Santos, George [Rep.-R-NY-3]",8/25/23,"Referred to the Committee on Foreign Affairs, and in addition to the Committees on Education and the Workforce, the Judiciary, Energy and Commerce, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",8/25/23,"Civil Rights and Liberties, Minority Issues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2918,https://www.congress.gov/bill/118th-congress/house-bill/2918,118th Congress (2023-2024),Fair Housing for Survivors Act of 2023,,"Wasserman Schultz, Debbie [Rep.-D-FL-25]",4/26/23,Referred to the House Committee on the Judiciary.,4/26/23,Housing and Community Development,Crimes against women,Assault and harassment offenses,Smuggling and trafficking,Human trafficking,Real estate business,Housing discrimination,Domestic violence and child abuse,Crime victims,Sex offenses,Housing finance and home ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 999,https://www.congress.gov/bill/118th-congress/house-bill/999,118th Congress (2023-2024),Civil Rights Legacy Protection Act,,"Cohen, Steve [Rep.-D-TN-9]",2/14/23,Referred to the House Committee on the Judiciary.,2/14/23,Crime and Law Enforcement,"Criminal investigation, prosecution, interrogation",Disability and health-based discrimination,District of Columbia,"Government buildings, facilities, and property",Government information and archives,Indiana,Massachusetts,Members of Congress,Mississippi,Missouri,New York City,Ohio,Racial and ethnic relations,Religion,"Sex, gender, sexual orientation discrimination",South Carolina,Tennessee,U.S. history,Virginia,Crimes against property,Commission on Civil Rights,Colorado,Alabama,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3018,https://www.congress.gov/bill/118th-congress/house-bill/3018,118th Congress (2023-2024),Federal Extreme Risk Protection Order Act of 2023,,"McBath, Lucy [Rep.-D-GA-7]",4/28/23,Referred to the House Committee on the Judiciary.,4/28/23,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 768,https://www.congress.gov/bill/118th-congress/house-bill/768,118th Congress (2023-2024),Extreme Risk Protection Order Expansion Act of 2023,,"Carbajal, Salud O. [Rep.-D-CA-24]",2/2/23,Referred to the House Committee on the Judiciary.,2/2/23,Crime and Law Enforcement,Employment and training programs,Vocational and technical education,Violent crime,Veterans' pensions and compensation,State and local government operations,"Social work, volunteer service, charitable organizations","Sex, gender, sexual orientation discrimination",Retail and wholesale trades,Religion,Racial and ethnic relations,Mental health,Law enforcement officers,Law enforcement administration and funding,Jurisdiction and venue,Intergovernmental relations,Health care coverage and access,Crime prevention,Crime victims,"Criminal investigation, prosecution, interrogation",Criminal justice information and records,Disability and health-based discrimination,Domestic violence and child abuse,"Drug, alcohol, tobacco use",Due process and equal protection,Federal-Indian relations,Firearms and explosives,Government information and archives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4792,https://www.congress.gov/bill/118th-congress/house-bill/4792,118th Congress (2023-2024),Childhood Offenders Rehabilitation and Safety Act of 2023,,"Kamlager-Dove, Sydney [Rep.-D-CA-37]",7/20/23,"Referred to the Committee on the Judiciary, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",7/20/23,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4518,https://www.congress.gov/bill/118th-congress/house-bill/4518,118th Congress (2023-2024),CARE Act of 2023,,"Davis, Donald G. [Rep.-D-NC-1]",7/10/23,Referred to the Subcommittee on Health.,8/11/23,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 160,https://www.congress.gov/bill/118th-congress/house-resolution/160,118th Congress (2023-2024),Recognizing Black History Month as an important time to celebrate the remarkable and unique contributions of all LGBTQI+ Black Americans in United States history.,,"Lee, Barbara [Rep.-D-CA-12]",2/24/23,Referred to the House Committee on Oversight and Accountability.,2/24/23,"Civil Rights and Liberties, Minority Issues",Commemorative events and holidays,Racial and ethnic relations,"Sex, gender, sexual orientation discrimination",U.S. history,Congressional tributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5435,https://www.congress.gov/bill/118th-congress/house-bill/5435,118th Congress (2023-2024),Disarm Hate Act,,"Escobar, Veronica [Rep.-D-TX-16]",9/13/23,Referred to the House Committee on the Judiciary.,9/13/23,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 779,https://www.congress.gov/bill/118th-congress/house-resolution/779,118th Congress (2023-2024),Recognizing the importance of the National Park Service in preserving the legacy of LGBTQI+ people and honoring their contributions to American history through the preservation of historic places and landmarks.,,"Soto, Darren [Rep.-D-FL-9]",10/11/23,Referred to the House Committee on Natural Resources.,10/25/23,Public Lands and Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1423,https://www.congress.gov/bill/118th-congress/house-bill/1423,118th Congress (2023-2024),911 Community Crisis Responders Act of 2023,,"Smith, Adam [Rep.-D-WA-9]",3/7/23,Referred to the Subcommittee on Health.,3/17/23,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2760,https://www.congress.gov/bill/118th-congress/house-bill/2760,118th Congress (2023-2024),Dignity for Detained Immigrants Act,,"Jayapal, Pramila [Rep.-D-WA-7]",4/20/23,"Referred to the Committee on the Judiciary, and in addition to the Committee on Homeland Security, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",4/20/23,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 634,https://www.congress.gov/bill/118th-congress/house-resolution/634,118th Congress (2023-2024),Unhoused Persons Bill of Rights,,"Bush, Cori [Rep.-D-MO-1]",7/28/23,"Referred to the Subcommittee on Nutrition, Foreign Agriculture, and Horticulture.",8/21/23,Housing and Community Development,Assault and harassment offenses,Cardiovascular and respiratory health,Water use and supply,Congressional oversight,Crime victims,"Criminal investigation, prosecution, interrogation",Criminal justice information and records,Defense spending,Department of Defense,Emergency medical services and trauma care,Employee hiring,Employment discrimination and employee rights,Executive agency funding and structure,First Amendment rights,Government information and archives,Government trust funds,Health care costs and insurance,Health care coverage and access,Health information and medical records,Higher education,HIV/AIDS,Homelessness and emergency shelter,Housing and community development funding,Housing discrimination,Housing supply and affordability,Human rights,Human trafficking,Infectious and parasitic diseases,"Internet, web applications, social media",Labor standards,Low- and moderate-income housing,Poverty and welfare assistance,Public housing,Religion,Right of privacy,Self-employed,Social security and elderly assistance,Solid waste and recycling,Student aid and college costs,"Veterans' loans, housing, homeless programs",Violent crime,Voting rights,Wages and earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4169,https://www.congress.gov/bill/118th-congress/house-bill/4169,118th Congress (2023-2024),United States Commitment to Peacekeeping Act of 2023,,"Jacobs, Sara [Rep.-D-CA-51]",6/15/23,Referred to the House Committee on Foreign Affairs.,6/15/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 6309,https://www.congress.gov/bill/118th-congress/house-bill/6309,118th Congress (2023-2024),Understanding Student Parent Outcomes Act of 2023,,"Ross, Deborah K. [Rep.-D-NC-2]",11/8/23,Referred to the House Committee on Education and the Workforce.,11/8/23,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 5545,https://www.congress.gov/bill/118th-congress/house-bill/5545,118th Congress (2023-2024),Global WASH in Healthcare Facilities Act of 2023,,"Meng, Grace [Rep.-D-NY-6]",9/18/23,Referred to the House Committee on Foreign Affairs.,9/18/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2835,https://www.congress.gov/bill/118th-congress/house-bill/2835,118th Congress (2023-2024),Multilingual Financial Literacy Act,,"Garcia, Sylvia R. [Rep.-D-TX-29]",4/25/23,"Referred to the Committee on Financial Services, and in addition to the Committee on Education and the Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",4/25/23,Finance and Financial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 605,https://www.congress.gov/bill/118th-congress/house-resolution/605,118th Congress (2023-2024),Recognizing that the United States needs to support and strengthen mothers in the workforce by investing in the Mom Economy.,,"Meng, Grace [Rep.-D-NY-6]",7/20/23,Referred to the House Committee on Education and the Workforce.,7/20/23,Families,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1404,https://www.congress.gov/bill/118th-congress/house-bill/1404,118th Congress (2023-2024),Facial Recognition and Biometric Technology Moratorium Act of 2023,,"Jayapal, Pramila [Rep.-D-WA-7]",3/7/23,"Referred to the Committee on the Judiciary, and in addition to the Committee on Oversight and Accountability, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",3/7/23,Armed Forces and National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 289,https://www.congress.gov/bill/118th-congress/house-resolution/289,118th Congress (2023-2024),"Recognizing the designation of the week of April 11 through April 17, 2023, as the sixth annual ""Black Maternal Health Week"" to bring national attention to the maternal health crisis in the United States and the importance of reducing maternal mortality and morbidity among Black women and birthing persons.",,"Adams, Alma S. [Rep.-D-NC-12]",4/13/23,"Referred to the Subcommittee on Nutrition, Foreign Agriculture, and Horticulture.",5/15/23,Health,Women's health,"Food supply, safety, and labeling",Water quality,Wages and earnings,Violent crime,Sex and reproductive health,Racial and ethnic relations,Nutrition and diet,Minority health,Air quality,Commemorative events and holidays,Community life and organization,"Criminal investigation, prosecution, interrogation",Disability and health-based discrimination,Economic development,Environmental health,Hazardous wastes and toxic substances,Health care costs and insurance,Health care coverage and access,Health personnel,Housing supply and affordability,Human rights,Medical research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3880,https://www.congress.gov/bill/118th-congress/house-bill/3880,118th Congress (2023-2024),PAID Act,,"Watson Coleman, Bonnie [Rep.-D-NJ-12]",6/6/23,"Referred to the Subcommittee on Innovation, Data, and Commerce.",6/9/23,Finance and Financial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Res. 389,https://www.congress.gov/bill/118th-congress/house-resolution/389,118th Congress (2023-2024),"Acknowledging the essential contributions of frontline health workers to recovering progress and further expanding and sustaining gains in global health, saving the lives of millions of women, men, and children around the world, and strengthening the United States national security and global economic prosperity.",,"Bera, Ami [Rep.-D-CA-6]",5/11/23,Referred to the House Committee on Foreign Affairs.,5/11/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3245,https://www.congress.gov/bill/118th-congress/house-bill/3245,118th Congress (2023-2024),Nonprofit Stakeholders Engaging and Advancing Together Act of 2023,,"Mace, Nancy [Rep.-R-SC-1]",5/11/23,"Referred to the Committee on Oversight and Accountability, and in addition to the Committees on Education and the Workforce, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",5/11/23,Government Operations and Politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1342,https://www.congress.gov/bill/118th-congress/house-bill/1342,118th Congress (2023-2024),Medicaid Dental Benefit Act of 2023,,"Barragan, Nanette Diaz [Rep.-D-CA-44]",3/3/23,Referred to the Subcommittee on Health.,3/10/23,Health,U.S. territories and protectorates,State and local government operations,Poverty and welfare assistance,Medicaid,Intergovernmental relations,Health promotion and preventive care,Health care quality,Government information and archives,Congressional oversight,Dental care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 3068,https://www.congress.gov/bill/118th-congress/house-bill/3068,118th Congress (2023-2024),Equal Health Care for All Act,,"Schiff, Adam B. [Rep.-D-CA-30]",5/2/23,Referred to the Subcommittee on Health.,5/5/23,Health,Administrative law and regulatory procedures,Administrative remedies,State and local government operations,Minority health,Medicare,Medicaid,Licensing and registrations,Advisory bodies,Civil actions and liability,Congressional oversight,Department of Health and Human Services,Disability and health-based discrimination,Executive agency funding and structure,Government information and archives,Government studies and investigations,Health care coverage and access,Health care quality,Health facilities and institutions,Health information and medical records,Health programs administration and funding,Hospital care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 1723,https://www.congress.gov/bill/118th-congress/house-bill/1723,118th Congress (2023-2024),Abortion is Health Care Everywhere Act of 2023,,"Schakowsky, Janice D. [Rep.-D-IL-9]",3/22/23,Referred to the House Committee on Foreign Affairs.,3/22/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 4972,https://www.congress.gov/bill/118th-congress/house-bill/4972,118th Congress (2023-2024),End Solitary Confinement Act,,"Bush, Cori [Rep.-D-MO-1]",7/27/23,Referred to the House Committee on the Judiciary.,7/27/23,Crime and Law Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.Con.Res. 39,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/39,118th Congress (2023-2024),"Expressing the sense of Congress to support the case of Beatriz, a young woman from a rural area of El Salvador, living in extreme poverty and with lupus, who fought for her life against the state to allow her to terminate a pregnancy that put her at risk, which exposed the serious consequences of the absolute criminalization of abortion in El Salvador, and urging the Salvadoran state to assume its international obligations in the field of human rights.",,"Williams, Nikema [Rep.-D-GA-5]",5/2/23,Referred to the Subcommittee on Health.,5/5/23,International Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2736,https://www.congress.gov/bill/118th-congress/house-bill/2736,118th Congress (2023-2024),SAD Act,,"Bonamici, Suzanne [Rep.-D-OR-1]",4/20/23,Referred to the House Committee on Energy and Commerce.,4/20/23,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 12,https://www.congress.gov/bill/118th-congress/house-bill/12,118th Congress (2023-2024),Women’s Health Protection Act of 2023,,"Chu, Judy [Rep.-D-CA-28]",3/30/23,Referred to the Subcommittee on Health.,4/7/23,Health,Federal preemption,Health care coverage and access,Health facilities and institutions,Health personnel,"Health technology, devices, supplies",Medical tests and diagnostic methods,Prescription drugs,Sex and reproductive health,State and local government operations,Travel and tourism,Women's health,Abortion,Civil actions and liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.R. 2904,https://www.congress.gov/bill/118th-congress/house-bill/2904,118th Congress (2023-2024),Anti-Racism in Public Health Act of 2023,,"Pressley, Ayanna [Rep.-D-MA-7]",4/26/23,Referred to the Subcommittee on Health.,4/28/23,Health,Advisory bodies,Age discrimination,Centers for Disease Control and Prevention (CDC),Community life and organization,Congressional oversight,Crime prevention,"Criminal investigation, prosecution, interrogation",Department of Health and Human Services,Disability and health-based discrimination,Employment discrimination and employee rights,Executive agency funding and structure,Federal-Indian relations,Government information and archives,Health information and medical records,Health programs administration and funding,Housing discrimination,Indian social and development programs,Law enforcement administration and funding,Law enforcement officers,Medical education,Medical research,Mental health,Minority health,Poverty and welfare assistance,Racial and ethnic relations,Research administration and funding,"Sex, gender, sexual orientation discrimination",Violent crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
